Context,Behavior,Definition,Detail Page URL
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Purposeful-Walk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=190&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Rapid-Ear-Flapping (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=193&cvid=MTY5Mg==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Reach-Touch (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=195&cvid=MjM1MiwyNzc3
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Reaching-High (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=196&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Roaring-Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=404&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Run-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=350&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Social-Trumpet (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=247&cvid=MjMzOCwyMzM5LDI3OTg=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Tail-Raising (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=260&cvid=MTczMg==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Temporin (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=263&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Trumpet (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=334&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Trunk-Sweep (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=280&cvid=MjgzNw==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Trunk-to-Mouth (4),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=285&cvid=MTQzOSwxNDQwLDE0NDEsMTQ0Mg==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Trunk-Twining (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=287&cvid=MTY5NA==
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Tusk-Clank (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=289&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Urinating (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=292&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Walk-Away (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=345&cvid=
Coalition BuildingBehaviors employed in the formation of a defensive coalition.,Walk-Toward (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=344&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Adorn-Body (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=387&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Alarmed-Trumpet (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=3&cvid=MTAwLDEwMQ==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Bow-Neck (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=29&cvid=MTAwOA==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Displacement-Feeding (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=65&cvid=MTI5Nw==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Displacement-Grooming (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=66&cvid=NDkxLDQ5Miw0OTMsNDk0LDQ5NSwxNjk5
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Ear-Folding (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=73&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Ear-Secretion (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=75&cvid=ODQ0LDg0NQ==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Ear-Spreading (9),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=77&cvid=MTc2LDE3NywxNzgsMTc5LDE4MCwxODEsMTgyLDE4MywxMzEy
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Ears-Stiff (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=80&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Exaggerated-Walk (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=86&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Foot-Scuffing (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=105&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Foot-Swinging (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=106&cvid=MTQ5LDEzNDE=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Forward-Trunk-Swing (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=108&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Head-Dip (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=118&cvid=MTEzMQ==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Head-Raising (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=122&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Head-Shaking (7),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=123&cvid=MzUyLDM1MywzNTQsMzU1LDM1NiwxNTk3LDE1OTg=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Head-Swinging (9),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=124&cvid=OTkwLDk5MSw5OTIsOTkzLDEzNjUsMTM2NiwxMzY3LDEzNjgsMjIzMQ==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,J-Trunk (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=130&cvid=MTM3OA==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Kick-Dust (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=133&cvid=NDY2LDIzMzM=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Look-At (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=150&cvid=MTYwMQ==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Orient-Toward (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=171&cvid=MTY4Nw==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Roaring-Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=404&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=330&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Sashay (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=224&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Scrape-Ground (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=225&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Snort (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=245&cvid=MTA5NiwxMDk3LDEwOTg=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Temporin (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=263&cvid=OTQz
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Throw-Debris (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=266&cvid=MTczNQ==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Touch-Self (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=267&cvid=NzU1LDE1NTcsMTU1Ng==
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Trumpet (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=334&cvid=
Conflict & ConfrontationBehaviors employed to signal hostility toward a perceived non-elephant threat.,Trunk-Toward (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=286&cvid=OTYxLDk2Mg==
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Bonding-Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=353&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Defecating (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=63&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Displacement-Feeding (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=65&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Displacement-Grooming (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=66&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Driving (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=69&cvid=MTk1OCwxOTU5
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Dust-with-Semen (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=230&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Estrous-Running-Rumble (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=348&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Female-Chorus-Rumble (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=94&cvid=MjE0MA==
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Follow (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=358&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Grasp-Leg (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=111&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Head-Raising (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=122&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Kick-Back (3),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=132&cvid=MTgxNywxODE4LDIyODE=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Mating (6),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=347&cvid=MTU3MSwxNTcyLDE1NzMsMTgyNSwxODI2LDIyOTE=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Mounting (2),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=156&cvid=MjEyNiwyMTI3
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Musth-Rumble (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=159&cvid=MTgxMg==
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Musth-Trunk-Wrinkle (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=328&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Nasal-Throb (0),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=382&cvid=
"CourtshipBehaviors engaged in by adult male and female elephants during courtship, consortship and mating.",Penis-Erection (1),,https://www.elephantvoices.org/elephant-ethogram/ethogram-table/behavior?id=172&cvid=MjA4OQ==
